time,class,confidence,bbox
2025-08-24 01:11:34,person,0.5288589000701904,"[0.06559371948242188, 199.65866088867188, 41.598270416259766, 315.2134704589844]"
2025-08-24 01:11:34,person,0.5249558091163635,"[563.3930053710938, 115.30103302001953, 593.2421264648438, 220.95541381835938]"
2025-08-24 01:11:34,handbag,0.4436839520931244,"[33.387611389160156, 266.9188537597656, 105.51744842529297, 325.0428161621094]"
2025-08-24 01:11:34,person,0.7224230170249939,"[477.9300842285156, 115.50066375732422, 510.8035583496094, 239.66094970703125]"
2025-08-24 01:11:34,person,0.7055695652961731,"[540.2359008789062, 101.88924407958984, 574.4598999023438, 240.56008911132812]"
2025-08-24 01:11:34,person,0.6983090043067932,"[2.313605308532715, 121.59768676757812, 33.11986541748047, 214.55685424804688]"
2025-08-24 01:11:34,person,0.698252260684967,"[382.7151184082031, 161.91802978515625, 403.7630310058594, 215.643310546875]"
2025-08-24 01:11:34,person,0.5918476581573486,"[563.2766723632812, 115.37335968017578, 593.2102661132812, 221.384521484375]"
2025-08-24 01:11:34,person,0.5056338906288147,"[0.08914756774902344, 199.41937255859375, 41.92918395996094, 315.01708984375]"
2025-08-24 01:11:34,handbag,0.4566701054573059,"[33.24543380737305, 269.5465087890625, 105.39320373535156, 325.10467529296875]"
2025-08-24 01:11:34,person,0.7514547109603882,"[540.391845703125, 102.13902282714844, 572.4605712890625, 240.29405212402344]"
2025-08-24 01:11:34,person,0.7271628975868225,"[380.4703369140625, 162.87551879882812, 402.49029541015625, 216.220947265625]"
2025-08-24 01:11:34,person,0.7265075445175171,"[477.9546813964844, 114.89331817626953, 514.125, 240.38238525390625]"
2025-08-24 01:11:34,person,0.7196573615074158,"[0.3469257354736328, 122.07279968261719, 31.288663864135742, 215.90525817871094]"
2025-08-24 01:11:34,person,0.6918013095855713,"[563.593017578125, 115.11164855957031, 593.95849609375, 222.0443878173828]"
2025-08-24 01:11:34,handbag,0.45386114716529846,"[34.1064453125, 269.5382995605469, 105.34037780761719, 325.3310241699219]"
